ORIGINAL_TITLE,PLOT
Ebony: The Last Years of the Atlantic Slave Trade,"Africa shares a white and black memory with Europe and America. A history shared by twelve million Africans and told by few. A very lucrative commerce, from which many prospered through four centuries, abolished or not."
15 Minutes of Shame,A look at public shaming in modern day culture.
The Wound,"As the group gathers evidence for their FBI testimonies, they express their beliefs about how the curriculums of SOP and JNESS, men's and women's groups within NXIVM, may have laid the foundation for DOS."
Accra,Christiane Amanpour heads to Accra where faith colors every aspect of sex and relationships to see how Ghanaian women are reclaiming their own sexual and personal space.
Unholy Addiction,It's a community many might not associate with addiction - the Mormon Church. For years the Mormon Church has struggled to help those who are addicted to painkillers and other drugs.
Spilling the Beans,"Learn how a diet high in beans, nuts and seeds can provide needed protein, as well as other health benefits, in episode three of this CuriosityStream original series."
Defend Our Territory,"After the loss to St. Bonaventure, coach Lara warns of position changes; the quarterbacks continue to struggle; a player has trouble with a switch from offense to defense."
Episode #2.4,1. The great un-vetting / a leak 2. Gavin Newsom / an interview with California's governor 3. Data dollar regulation / an Axios exclusive 4. Pot hold / who cashes in on cannabis? 5. How a meme becomes a candidate.
Sea Monsters,"Following a massive win at a competition at Maui's world-famous Jaws surf break in 2003, professional surfer Garrett McNamara comes out of retirement to pursue his lifelong dream of riding a 100-foot wave."
Do You Believe In Coincidences?,"Cullen travels to Manila where he meets the secretive team behind 8chan, the site where Q posts. After looking into Fred Brennan's motives for starting the site, the investigation turns to Jim and Ron Watkins, the reclusive father/son duo who own and operate 8chan. Back in the U.S., prominent QAnons get booted from a far-right conference."
The Car Accident,A healthy young mother mysteriously dies after a minor traffic accident triggering an investigation.
The Barn,A popular handy man in a New Hampshire town is found murdered and investigators follow forensic clues to a shocking conclusion.
Portrait of a Serial Killer,A serial killer terrorizes a small Texas town.
Peru,"Tony and his friend, world-renowned chef Eric Ripert, explore the far reaches of indigenous Andes in search of a rare variety of wild cocoa that is said to be the ""best"" in the world."
Tokyo Olympiad,"Kon Ichikawa examines the beauty and rich drama on display at the 1964 Summer Games in Tokyo, creating a record of observations that range from the expansive to the intimate."
6 Days to Air: The Making of South Park,A look at the making of HUMANCENTiPAD (2011).
Screen Addiction,Lisa Ling goes in depth into the role technology plays in the mental health crisis.
The Hit That Wasn't,"In Philadelphia, the brazen killing of a state's witness leads police to an alleged hitman - but could the evidnce against him be nothing more than smoke and mirrors?"
Native Americans,Kamau heads to the Dakotas to shed light on a population over which the United States has too long cast a shadow: the indigenous people we mistakenly call Native Americans.
Part One: Winter,The turning point in the Vietnam War as well the beginning of the 1968 presidential election that changed the course of history.
Louis Theroux: The Night in Question,Louis Theroux heads to the USA to meet college students accused of sexual assault.
Range Rover Vs An Autonomous Military Machine - Designing A Vehicle For The Elderly: Rover James,"Contains language some may find offensive. Jeremy Clarkson and Richard Hammond tackle the twin problems of an ageing population and the increasing complexity of modern cars. Their solution is to design a vehicle exclusively for the elderly. Meanwhile, James May shifts to Nevada for the ultimate challenge against an autonomous military machine. Plus actor James McAvoy is the star in the Reasonably Priced Car."
"Latino, USA",The population of East Los Angeles is over 90 percent Latino; they are predicted to be the majority population of Americans by 2044; W. Kamau Bell speaks to many Latinos who are fighting prejudice and spreading the message of tolerance.
Episode #25.4,"Matt LeBlanc tests the world's fastest accelerating car, with a little help from NASA. Chris Harris pens a heartfelt love letter to the Citroen 2CV, while Rory Reid samples some exciting cars from South Korea. Dara O Briain and Ed Byrne are the studio guests."
Canada's Lost Girls,"Stacey Dooley travels across Canada to investigate what factors led to the disappearance and murders of 1,200 Native American girls and women."
A B.A.S.E. Jumping Accident,"B.A.S.E. stands for Building, Antenna, Span, and Earth. In Utah, B.A.S.E. jumpers play on the red cliffs of the high desert. But one false move sends a jumper crashing to the ground."
Buried Secrets,A fire leads investigators to reexamine an unusual death.
The Iceman and the Psychiatrist,"For the third time, HBO cameras go inside Trenton State Maximum Security Prison--and inside the mind of one of the most prolific killers in U.S. history--in this gripping documentary. Mafia hit man Richard Kuklinski freely admits to killing more than 100 people, but in this special, he speaks with top psychiatrist Dr. Park Dietz in an effort to face the truth about his condition. Filled with more never-before-revealed confessions, it's the most chillingly candid Iceman special yet as it combines often-confrontational interview footage between Kuklinski and Dietz with photos, crime reenactments and home movies that add new layers to this evolving and fascinating story."
Bhutan,"Anthony Bourdain journeys with director Darren Aronofsky to the Himalayan nation of Bhutan, sampling the cuisine and immersing themselves in the culture of a country trying to hold on to its traditions as it strives to modernize."
The Oklahoma City Bombing,"Crimes of the Century looks at the 1995 bombing of a federal building in Oklahoma City that killed 168 people. Gulf War veteran and Bronze Star recipient Timothy McVeigh is caught shortly after the bombing, but questions remain about whether others were involved."
Congo,Bourdain looks at the Congo as one of the more industrialized powers in Africa now largely crumbled to nothingness and chaos.
Celestial Bodies,"Liz's legacy as a trans woman, entrepreneur, and parent is contextualized within the broader history of transphobia."
John Wayne Gacy: Evil Secret Part 1,"The early life of serial killer John Wayne Gacy, living with an abusive alcoholic father, to his successful contracting company hiring young men, where he would trick them into handcuffs before he raped and murdered dozens of young men."
The Black Hole,Investigators search for clues after a body is discovered in a watery grave.
Episode #25.6,"Matt LeBlanc, Chris Harris and Rory Reid test the latest SUVs through the medium of horse trialling. Chris also gets an explosive drive in the new Alpine A110, while Jason Manford is the studio guest."
The Most Hated Family in America,"Louis meets the Phelps family, who protest against an America that tolerates homosexuality"
Snowfall,"An enchanting film that invites us into a winter wonderland. Starting with the birth of a single snowflake, we journey through a spectrum of snowscapes. Narrated by Cillian Murphy."
Lock-Up: The Prisoners of Rikers Island,"A look inside Rikers Island which is a rather unknown place in New York. Many of the inmates and various people working in the law enforcement field are interviewed. We see aftermath of violence, different units, a drug search in one of the prison units, judge visits etc."
The Secret Lives of Leopards,"Like most big cats, the leopard is a master of secrecy. It's one of the hardest of all big cats to see, let alone observe. This is mainly because leopards need absolute invisibility to hunt."
Who Killed JonBenet Ramsey? The Aftermath,The aftermath of the investigation into the murder of JonBenet Ramsey.
Bridge to Freedom: 1965,"From PBS - Ten years after the bus boycott in Montgomery, Alabama, the civil rights leadership has become more sophisticated in its use of protest strategy."
Kris Maharaj: Murder in Miami,"The case of Kris Majaraj, convicted of the murders of Derrick Moo Young and Duane Moo Young in 1987, is examined. He was a millionaire businessman who moved from England to Florida."
Swiped: Hooking Up in the Digital Age,Online and app dating provide access for everything from ""hookups"" to long-term relationships.
The Latino List,[HBO] HD. Renowned Latino artists and leaders pose for a series of highly personal video portraits in this documentary.
"Cook, à la poursuite des terres australes","In 1415, the Portuguese launch an era of explorations that will lead to the European discovery of the world. The competition is intense between France and the United Kingdom for the possession of North America and the West Indies for the Indian colonies, but also for Science."
True Justice: Bryan Stevenson's Fight for Equality,A look at how Alabama attorney Bryan Stevenson struggles to create more fairness in the legal system.
Segregation Problems,"Wyatt examines how infrastructure perpetuates segregation, suggests a solution to class warfare in the sky, and looks at New Jersey's long struggle with school integration."
Episode #2.1,1. Jared Kushner / an interview 2. Losing to China 3. Greatest global threats / are we prepared?
Drone Racing,Host Mo Rocca shows us: The robotic football Tackle Dummy that prevents injuries. The Drone Racing League. The Doomsday Seed Vault. And the Flying Schoolgirl who made aviation history.
The Bronx,"Tony experiences the Bronx from a legendary collection of Bronx native - Hip Hop originators Kool Herc, Afrika Bambaataa, and Melle Mel discuss the early years of hip hop."
Innocence and the Intern,"The case of Edward Lee Elmore is recalled. Elmore was convicted in 1982 for sexually assaulting and murdering a woman in Greenwood, S.C., and was released from prison in 2012."
The Sentence,Filmmaker Rudy Valdez shows the aftermath of his sister Cindy's 15-year sentence for conspiracy charges related to crimes committed by her deceased ex-boyfriend.
"Dien Bien Phu, une bataille perdue d'avance","Since the end of the 19th century, Indochina has been a flourishing colony, the gem of the French Empire. However, the Second World War turns everything upside down. At the end of the war, the Viet Minh movement announces its independence."
Episode #1.3,1. Tim Cook and augmented reality. 2. Poll on regulating the tech industry. 3. Sports betting law changes. 4. Social media consumption. 5. People living longer in the future with developments. Apple Healthcare Lab.
"Lawrence d'Arabie, pour une poignée de sable","1916, the Great War, far away from the trenches, in the sand of the Middle East, war has a very different face. With a handful of intrepid men, Thomas Edward Lawrence leads the revolt of the Arabs alongside Sharif Hussein, against the Ottoman Empire."
Consequences,"The Weight of the Nation examines the long-term health consequences of obesity in America. It pays special attention to childhood weight problems and heart disease, the negative impact of high weight on heart and liver function, the link between weight gain and diabetes, and the social costs of the obesity epidemic."
The Science of Joy,"Mark Vicente and Sarah Edmondson, high-ranking former NXIVM leaders, describe the dream and mission of NXIVM to build a better world. Bonnie, Mark's wife, tells him she is worried about the organization."
Class Action Park,A documentary that focuses on a dangerously legendary water park and its slew of injuries and crimes along with child safety concerns.
Rabbit Hunt,"The annual sugar cane burn gives current players a chance to ""Rabbit Hunt,"" and one former player a chance to lobby for a greener future."
Ethiopia,"Bourdain visits Addis Adaba to sample injera bread, beyaynetu platters, coffee and music with chef Marcus Samuelsson."
Tenacious D in the Pick of Destiny,"To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
Mexico City,"Tony travels to Mexico City, Oaxaca, and Cuernavaca to meet those who fight for the food, the art, and the lives they believe in."
Finding the Way Home,A look at the distressing circumstances for millions of children living in orphanages and other institutions around the world as J.K. Rowling's LUMOS foundation works to reunite them with family members or place them in foster homes.
Jodi Arias Part 2: Dirty Little Secret,"Four years after the vicious killing of Travis Alexander, his ex-girlfriend Jodi Arias stands trial for his murder. Millions of people are captivated by the lurid details of Jodi and Travis' erotic relationship told through photographs, recordings of their phone sex, and by Jodi from the witness stand."
Jim Jones: Unholy Massacre Part 2,"More than 900 Americans died in an isolated jungle in northern Guyana in November 1978. The man responsible, Jim Jones, has gone down in history as a madman who drove his followers to suicide. But the truth is more complicated, more horrifying, and more tragic than that. This episode dives deep into the life of Jones, from his lonely childhood to his spectacular rise as a charismatic minister sought out by politicians and film stars, and finally, to an almost unimaginable end: the mass murder of those who once called him ""father."""
The Frozen Prison,"An alleged rapist forces his 17-year-old victim to marrying him, then imprisons her in a psychological cage for seven years."
Requiem for the Dead: American Spring 2014,"A harrowing look back at some of the 8,000 plus men, women and children who were killed by gunfire in America in the spring of 2014."
Going to Public School,"W. Kamau Bell explores inequities in the public education system through two very different school districts near Cleveland, Ohio."
Silicon Savants,"Silicon Savants is about teens in Silicon Valley who are working to change the world. It features Jackson Greathouse Fall, Abenezer Mamo, Make School, and CalHacks."
The Dad Dilemma,Dads of Divorce struggling for control.
Alaskan Adventures,"Alaska appeals to different types of people. Wether one seeks nature, solitude, adventure or extremes, there is wildlife, untouched habitat, and eleven distinct mountain ranges. Alaska has something for outdoorsmen and thrill seekers."
Gender Fluidity,Lisa Ling explores the thinking about genders. She meets individuals across the spectrum who are seeking acceptance from those closest to them.
Predator or Prey?,There's no doubt Terry Williams committed murder - but what drove him to kill?
Exoplanets,"NASA may have just gotten one step closer to the answering the question: are we alone? The Spitzer Telescope has made a groundbreaking discovery of exoplanets that could be similar to our own. And as Kepler also continues its search, our understanding of the universe continues to be redefined."
Connecting to the Future,Go into the physical heart of the Internet and learn about the very first message sent by UCLA professor Leonard Kleinrock.
Turkey,"Dr. Sanjay Gupta travels to Turkey, a cultural crossroads where science and mysticism coexist, to find alternative ways of managing health and fighting disease."
Zion: Red Rock Canyons High and Narrow,"Jack and Colton trek miles though an icy cold river, then hold on for dear life while climbing one of Zion National Park's scariest trails."
"Best of Eat, Drink, Sleep","Camping in the national parks is always an interesting experience for Colton and Jack, especially when it comes to finding resources for food and water and a place to sleep."
Chapter 2: Water - The Big Question,"Right now, we know there is water on the Moon. But how much water? Is water largely at the poles? These are Strategic Knowledge Gaps that scientists are working to fill in, and a Resource Prospector robot will be launched to the moon in the 2020's to look for the presence of water."
Capturing Drones,"Host Mo Rocca shows us: How to protect the skies from unwanted drones. The business of fonts. The laying of Trans-Atlantic cables. And, the phone case that protects against the roaming fingers of children."
The Joy of Logic,"Computer Scientist, Professor Cliff, thru philosophy, math, science and technology exhibits the quest for certainty/ fundamentals of sound reasoning."
Forbidden Love,Family and friends revisit the events that led up to Adnan Syed's conviction for Hae Min Lee's murder.
Cries from Syria,"CRIES FROM SYRIA is a searing, comprehensive account of a brutal five-year conflict from the inside out, drawing on hundreds of hours of war footage from Syrian activists and citizen journalists, as well as testimony from child protesters, leaders of the revolution, human rights defenders, ordinary citizens, and high-ranking army generals who defected from the government. Their collective stories are a cry for attention and help from a world that little understands their reality or agrees on what to do about it. A documentary by Evgeny Afineevsky, director of the Oscar-nominated film WINTER ON FIRE, CRIES FROM SYRIA premiered at the 2017 Sundance Film Festival."
Episode #4.2,"[HBO] HD. In this edition: Secretary of Transportation Pete Buttigieg, AFL-CIO President Richard Trumka, David Malpass, and John Matze."
The British Invasion,A new wave of British bands and artists enter and impact mainstream American culture.
We Will Rise: Michelle Obama's Mission to Educate Girls Around the World,"The First Lady, Meryl Streep, Freida Pinto and CNN's Isha Sesay take a journey to Morocco and Liberia, where they meet young women overcoming incredible odds to change their lives."
About Face: Supermodels Then and Now,"'About Face' explores beauty and aging through the stories of the original supermodels: women, now between fifty and eighty years old, whose images defined our sense of beauty over the last half-century. Shot in Timothy Greenfield-Sanders' intimate portrait style, participants include Isabella Rossellini, Christie Brinkley, Marisa Berenson, China Machado, Beverly Johnson, Carmen Dell'Orefice, Paulina Porizkova, Jerry Hall, and Christy Turlington among others. They discuss the fashion industry, their careers, aging, plastic surgery, botox, and how they have reassessed and redefined their own sense of beauty as they have aged. Designer Calvin Klein says in the film, 'They had something inside that came through...they had character, they had personality. Those qualities never age'."
Milan,"Stanley Tucci eats and drinks his way around Milan. Here, Stanley enjoys an aperitivo, feels inspired to make pizzoccheri - a noodle made from buckwheat, and enjoys classic Milanese - veal chops and risotto."
4 Little Girls,A documentary of the notorious racial terrorist bombing of an African American church during the Civil Rights Movement.
The Song Remains the Same,The line forms here for the world's greatest and possibly most influential band--Led Zeppelin. This mesmerizing movie built around Zep's famed 1973 concerts at New York's Madison Square Garden is convincing proof why.
Birth of the Solar System,"The birth of our Solar System was both violent and chaotic. A newborn Jupiter menaced the inner solar system, tossing some planets into the Sun, others thrown into interstellar space, never to return. What stopped Jupiter from causing such mayhem?"
Prince: The End,"An examination of the secret struggles Prince faced, from his early years to the final days leading up to his shocking death."
Episode #1.2,"(Dominance - Lions and Tigers) Sabre tooth cats utterly dominated unchallenged, even by other felines. During the Pleistocene, early lions developed their success formula (in Africa), sprint-based social hunting mainly nocturnal, in order to defend themselves against that huge adversary and avoid its daytime competition. The arrival of Prehistoric humanoids ended the age of the saber tooth, which they hunted into extinction. Lions survived and took over as top cats, all over the old world, except in the Asian jungles and high grass lands. There the larger, solitary tiger rules supreme in large individual territories, specialized in stealth around drinking sites and with more stamina. Their nocturnal hunts may have started to avoid humanoids. In America the hole lion survived longer, leading to a different feline fauna."
Eye for an Eye,"The case of Nathan Dunlap, who was sentenced to death for the 1993 murders of four people at a Chuck E. Cheese restaurant in Aurora, Colorado."
The Platinum Age Of Television,"This episode explores the creative renaissance in television as audiences enjoyed groundbreaking shows such as The Sopranos, Mad Men, Breaking Bad, Lost, Survivor, American Idol, Glee and The Office."
Episode #22.8,The boys acquire traditional classic convertibles before setting off an adventure. The trio are also challenged to each buy a high-mileage and low-quality SUV before undergoing a series of challenges.
Run Over by a Train,"In Mumbai, India, a small girl comes face to face with a massive train. In this amazing video, learn from the experts what happens next and how the astounding outcome is even possible."
Bay Area,"Bourdain takes a journey to the Bay Area to practice Brazilian Jiu Jitsu, heal through food, and enjoy some soul food at Real Miss Ollie's."
Kittenhood,"There are 3 kittens in this story, and as we watch these cute bundles of fur grow we learn how our feline companions adapt in very diverse environments. Each of our kittens, from Tokyo to France, has a unique and fascinating world to explore. Resist watching if you can."
Ted Bundy Part 2: Ted Escapes,"While serving time for aggravated kidnapping in Utah and facing first degree murder charges in Colorado, Ted Bundy escaped not once but twice from authorities."
Decieved to Death,"Texas, 2009: Margaret Lorrain Smith is charged with the murder of her husband for a property windfall and flees; Oregon, 2010: Paul Winklebleck is charged with kidnapping and attempted rape of a minor while on parole."
Vitamania: The Sense and Nonsense of Vitamins,"A documentary about vitamins: the history of their discovery, the dietary supplement industry, and the dangers of both deficiencies and excessive intake."
Where Wild Things Roam,"The rare one-horned rhinoceros is being poached in Kaziranga National Park. Herds of elephants are on the move and a new born baby elephant has lost its mother. People who live in Kaziranga risk their lives to make sure the wild animals stay safe, including the tigers that also roam the park."
Politics Aside,A look at the many different ways that comedy has lampooned and influenced politics over the years.
Chapter 5: mars direct or moon first?,"Will resources on the Moon be the determining factor in whether the next human destination in outer space is Mars or the Moon? Google Lunar, Space X and other private industry efforts may lead the way."
Dangers of Alaska,"With a little local knowledge and knowing where to look, you will never go hungry in Alaska. There is an amazing bounty of edible flora and fauna in the Last Frontier, but beware you could be on their menu too."
Saudi Women's Driving School,Saudi women embrace a new way of life and the freedom that comes from being behind the wheel when they are allowed to drive legally for the first time.
Broken,This intimate edition of 'State of Play' follows two men who were paralyzed playing the sports that they love. Their struggle - and that of their family - to accept a new life of physical limitations is a raw humbling portrait of endurance and love.
The Latino List: Volume 2,The Latino List explores what it means to be Latino in the United States
Hyperloop,"Host Mo Rocca shows us: The future of fastest ground travel. The smartphone game that will aid your abs. The camera checking for sun damage. And, the boys who helped bring you barbecue."
Episode #4.4,National Institutes of Health Director Francis Collins addressee vaccine distribution and creación. Fotbit Co-Founder and CEO James Park talks about usong technology to track COVID-19; American Federation of Teachers President Rani Weingarten discusses opening schools safely.
Nichols and May: Take Two,TV clips and highlights profile the 1960's comedy team of Mike Nichols and Elaine May.
The Times of Harvey Milk,A documentary of the successful career and assassination of San Francisco's first elected gay city supervisor.
India: Tigers and the Taj,Weir visits the Taj Mahal in India and learns about conservation efforts to save the Bengal tiger.
Episode #1.1,"Commander Stephen Hawking pilots his space ship the SS Hawking on the journey of a lifetime, zooming from black holes to the Big Bang, Saturn to Santa Barbara. After all, why should astronauts have all the fun?"
The Real DC,Kamau takes a look at Washington D.C. through the eyes of the city's residents who show him the vibrant culture of D.C. that is distinct from the Washington politics that surround it.
Beirut,"Anthony heads to Beirut, to explore the culture and food history of the region. He also takes part in the more modern nightlife activities available in what is known as 'the Paris of the Middle East'."
Part 4: Lencois,"The dunes that stretch as far as the eye can see to the north of Sao Lucas make one think of the Sahara, but the water surrounding the dunes is not a mirage. This is the Lencois Maranhenses National Park, a chain of little-known Brazilian lakes with an amazing ecosystem."
They Shall Not Grow Old,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.
The Prosecution of Amanda Knox,"Crimes of the Century examines the case of Amanda Knox an American exchange student living in Perugia who was arrested and accused of murdering her British flatmate Meredith Kercher. Knox is initially found guilty of the crime, but her argue that she is the victim of a out-of-control prosecutor and press."
Panic in D.C.,"After a series of mass shootings, 8chan shuts down and Q goes dark. Jim is summoned to appear before Congress for a hearing on digital hate speech."
Mission Accomplished,This episode explores how George W. Bush faced the attacks of September 11th and launched a global war on terror.
Our Towns,"From Academy Award-nominated filmmakers Steven Ascher and Jeanne Jordan comes Our Towns, a documentary that paints a remarkable picture of America and how the rise of civic and economic reinvention is transforming small cities and towns across the country. Based on journalists James and Deborah Fallows' book Our Towns: A 100,000-Mile Journey into the Heart of America, the film spotlights local initiatives and explores how a sense of community and common language of change can help people and towns find a different path to the future."
Under the Tarp,The crew of the show looks back at some of their favorite moments.
The Atlanta Serial Killer: Do You Know Where Your Children Are? Part 1,"From 1979 to 1981, more than two dozen of Atlanta's black children disappeared without a trace; a look at who was killing the city's most vulnerable and why."
"Minas Gerais, Brazil","Bourdain explores the Brazilian heartland, home to baroque architecture, lush hillsides and mineiro cuisine which includes frango ao molho pardo (broiled chicken served in a sauce made using its own blood), that the host samples during a traditional country meal."
The Carjacking,"Charles Stuart calls 911 on his car phone reporting that he and his pregnant wife were just carjacked. As the police and paramedics rush to find them, Stuart tells the 911 operator they were robbed and shot. But all is not what it seems."
Gestation,"Amy and Chris each receive surprising diagnoses, while Amy tightens up her set before her new taping date."
Eleanor Roosevelt,"Eleanor Roosevelt and former President Franklin Delano Roosevelt created arguably the most formidable political partnership in American history. Eleanor's desolate childhood sowed the seeds of a life devoted to standing up for the poor and dispossessed. By the time she reached the White House, she was at the forefront of efforts to ease the suffering caused by the Great Depression and a leader of the campaign for civil rights."
No Easy Walk: 1961-1963,From PBS - This episode depicts major civil rights movement events in three American cities.
The Clinton-Lewinsky Scandal (Part 2),"It was the shocking affair that nearly toppled a Presidency. Bill Clinton and a 21 year old White House intern, Monica Lewinsky."
The Wrong Gun,"In May 1992, four young men enter a park in Houston, Texas. Minutes later, one of them is dead from a bullet and a shotgun blast to the head. When police track down one of the surviving drug dealers, he names 17-year-old Nanon Williams as the shooter, and other witnesses back up the story. Nanon becomes one of just over thirty juveniles on death row in America, but he pleads his innocence. As his appeals attorneys reexamine the evidence, they learn that the state made a grave error: the bullet in the victim's brain didn't come from Nanon's gun, but his co-defendant's - a man who only served four years in prison. Prosecutors stand by the conviction, even as Nanon tries to prove he's redeemed himself behind bars."
Kamau Buys a Gun,"W. Kamau Bell, liberal comedian and outspoken critic of gun laws in America, buys a .357 Magnum."
Gravitational Waves,Einstein was correct about gravitational waves. Here is a short primer on these up-to-now only theoretical waves. And you will find out how we have finally confirmed Einstein's theory and what the research into gravitational waves will tell us about the beginnings of our universe.
The War in Vietnam,The complexities that led to America's involvement in the Vietnam War is explored by looking at what affect the assassination of President Kennedy and the installment of Lyndon Johnson into the Oval Office might have played.
The Memory Loss Tapes,Seven people living through various stages of Alzheimer's disease are profiled in this verite documentary.
A Final Romance,An unlikely love affair develops between former high school classmates who reconnected on Facebook - but the whirlwind romance ends with one lover dead and the other on the run.
The Diplomat,"THE DIPLOMAT tells the remarkable story of the life and legacy of Ambassador Richard Holbrooke, whose singular career spanned fifty years of American foreign policy - from Vietnam to Afghanistan."
Burning Ojai: Our Fire Story,"Follows one family and the residents of Ventura County, CA through a journey of devastation, repair and survival after one of the largest wildfires in state history destroys their beloved community."
The Gig Economy,"W. Kamau Bell speaks with Vanessa Minton, a gig worker in Austin, Texas, on what life has been like during the pandemic. Across the United States, the fastest-growing category of new jobs is gig work, spurred on by tech companies and their never-ending stream of apps; low and uncertain incomes have replaced benefits."
"Welcome to Long Beach, Baby",Competition for the starting quarterback spot starts; a senior's future is uncertain after an injury; a brawl breaks out during a scrimmage.
Communication of the Future,"What will communication look like in 2050? First, the internet will be everywhere. Researchers and scientists from around the world are working on ways to make this happen, for example with self-sufficient balloons equipped with wifi to cover digital deserts."
Studs Terkel: Listening to America,"Documentary about the life and career of the author and pioneer of radio & television, Studs Terkel."
The Invention of Cooking,From hunter gatherers to fire - we became human when we learned how to cook.
Deep Ocean: The Lost World of the Pacific,The same submarine which successfully captured the world.
When Heroin Hits Home,"From people in the throes of addiction fighting to get clean and keep their babies, to families and agencies working with addicts to create safe homes, Lisa Ling witnesses what happens when heroin addiction hits home."
Shaquille O'Neal,"Shaquille O'Neal went from being poor and bullied - and becoming a bully himself - to fame in the NBA. The greatest influence on Shaq's life was his step-father, who taught him that ""true pressure is not knowing where your next meal is coming from."""
Into the Skies,"Growth in air transportation is set to soar, carrying over 10 billion passengers every year by 2050. To cope requires us to radically rethink aircraft design. Join us as we look into the world's most innovative research and development labs, to see first-hand the breakthroughs in aviation."
Mammoth Cave: All About the Bats,"The guys creep and crawl for miles through the underground of Mammoth Cave National Park in Kentucky, and help researchers capture wild bats to track a deadly disease."
Nagano '98 Olympics: Bud Greenspan's Stories of Honor and Glory,A documentary covering the 1998 Olympic Games in Nagano.
The Will to Win,"From modest beginnings in California, Richard Milhous Nixon rises to become a young star of the Republican Party -- first as a Congressman, then a Senator, then Vice President, and finally the nominee for President in 1960."
The Coral City,"This film transports us to the heart of the Coral Triangle, a place where evolution has run wild. Entering a magical underwater world, we explore the magnificent life that calls the coral neighbourhood home. Narrated by Lucy Liu."
Raised on Television,"VCRs, remote controls, family sitcoms, adult dramas, and prime-time soaps all changed TV enjoyment."
Feds vs. Outlaws,"Clarence ""Smitty"" Smith, the leader of the notorious biker club The Outlaws, is accused of a quadruple homicide in Fort Lauderdale."
Vendetta,"Sara Raras is home alone one night when an intruder bypasses her home security system, savagely killing her. As her family begins to despair that the killer will never be caught, an unexpected tip brings hope."
The Green Pen,"When a Yale student mysteriously vanishes days before her wedding, investigators comb a secure research lab for clues."
There Can Only Be One,"A last-second score catapults one team to a surprising playoff run, while a heartbreaking loss spells the end for the coach of the other."
Mountains of the Gods,The man who saved the last colony of Guizhou golden monkeys is getting old. He must pass responsibility on to the next in line. But will his successor be able to keep the monkeys safe? And a Buddhist master needs to replenish her spirit on the peak of a sacred mountain but she is afraid of heights!
Murderous Millionaire (Peter Morgan),"Beautiful Georgina Symonds knows how to bend men to her will, then she goes missing, and police discover she has pushed one man too far with fatal results."
Part 1: The Skin of the Earth,"We know less than 10% of the organisms that populate the underground world and that, each in their own way, take an active part in creating the soil. We are just beginning to discover that plants form partnerships and create complex unions. Welcome to this subtle, surprising and secret world."
The Mystery of the Feathered Dragons,"Thanks to new technologies combining genetics, ethology, geology and even particle physics, paleontologists can now recreate the missing branches of the tree of life. Now, paleontologists can show that there were far more feathered dinosaurs than previously believed."
Laos,"The rich sensory experience of Laos with its enchanting scenery, distinctive aromas, and exceptional food are explored in Bourdain's trip to this Southeast Asian country which also continues to suffer the effects of the Secret War by the U.S in the 1960's-1970's."
Terror at Home and Abroad,"Global terrorism is on the rise and is brought to every home in America through ever increasing media coverage. The Weather Underground, Symbionese Liberation Army, hijackings and the attacks at the 72' Olympic Games in Munich are covered."
Innocence Defiled,"Texas, 2011: Multiple young girls accuse Prakashanand Saraswati, local leader of the cult Barsana Dham, of molestation. His disciples come up with $1 million dollars for his bail. Saraswati flees back to his home country of India."
Murderous Moms,Teenage flirting and heartbreak lead to adult misinformation and miscommunication-that then leads to a horrific neighborhood brawl in an Ohio suburb with tragic results.
Labor Problems,"[HBO] HD. 'Labor Problems.' Season 2 Premiere. Wyatt examines why workers at major fast-food chains aren't unionized, and more."
The Atlanta Serial Killer: The KKK Connection? Part 2,"Investigators believe Wayne Williams, a 23-year-old black man murdered more than two dozen black children and young men in Atlanta; 40 year-old evidence is reexamined using modern forensics in search of more answers."
Deadly Lust,"Family members in California details the manipulation and sexual molestation of a man who they trusted as a father, which leads to the 2008 murder of a step-daughter who he molested and had a child with; a Charleston, South Carolina Police officer becomes a fugitive from justice after he killed his Brazilian-born wife and charged with sexually molesting a student from his karate class in 2005."
Coma,"Al'Khan, Roxanne, Sean, and Tom have each emerged from their Traumatic Brain Injury comas, but just how conscious are they, and will they get better?"
Anyone's Daughter,"More American children are being recruited into the sex trade, sometimes girls as young as 10 years old. Chris Cuomo explores the mean streets of Los Angeles, California, where law enforcement battles this rising tide of exploitation."
Jackson,"With a single abortion clinic remaining in the state of Mississippi, the city of Jackson has become ground zero in the nation's battle over reproductive health-care. Jackson is an intimate portrait of the interwoven lives of three women in this town. Wrought with the racial and religious undertones of the Deep South, the lives of two women are deeply affected by the director of the local pro-life crisis pregnancy center and the movement she represents."
Stockton on My Mind,Mayor Tubbs through his first term in office as he tirelessly advances his innovative proposals for a city at a turning point.
John the Baptist,"Examines relics said to be of John the Baptist, using scientific methods. It is inter-cut with scenes from the life of John the Baptist."
"And finally, intelligence!",Homo sapiens are the only creatures on earth privileged with high intelligence that allows us to be civilized. What evolutionary odyssey did we take to be granted this intelligence? The latest DNA research has discovered a key ancient incident that could solve this million/dollar mystery.
Warning: This Drug May Kill You,An unflinching look at the devastating effects of addiction through the stories of four families whose lives have been decimated by addictions that all began with legitimate prescriptions to dangerous painkillers.
