VALUE,PLOT
Short,"Host Jeff Corwin shares some of his most exciting experiences in the great state of Alaska including diving with Stellar Sea Lions, tracking Brown Bears on Kodiak Island, caring for adorable Harbor Seals, and exploring Alaska's vast coastline."
Adventure,"Host Jeff Corwin shares some of his most exciting experiences in the great state of Alaska including diving with Stellar Sea Lions, tracking Brown Bears on Kodiak Island, caring for adorable Harbor Seals, and exploring Alaska's vast coastline."
Family,"Host Jeff Corwin shares some of his most exciting experiences in the great state of Alaska including diving with Stellar Sea Lions, tracking Brown Bears on Kodiak Island, caring for adorable Harbor Seals, and exploring Alaska's vast coastline."
Reality-TV,"Stanley Tucci explores Bologna, seen by many as the food capital of Italy. The region of Emilia-Romagna is home to globally renowned protected food products: parmigiano, prosciutto de Parma and traditional balsamic vinegar to name a few."
Comedy,"Amy and Chris each receive surprising diagnoses, while Amy tightens up her set before her new taping date."
Adventure,"Bourdain explores Cuba from its bustling capital city Havana, to the slower paced, music mecca Santiago."
Crime,"It was the shocking affair that nearly toppled a Presidency. Bill Clinton and a 21 year old White House intern, Monica Lewinsky."
Mystery,"It was the shocking affair that nearly toppled a Presidency. Bill Clinton and a 21 year old White House intern, Monica Lewinsky."
Fantasy,"Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe."
History,"Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe."
Horror,"Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe."
Adventure,A visit to Florida's endangered Everglades.
Crime,"Crimes of the Century looks at the 1981 attempted assassination of President Ronald Reagan by John Hinckley. Hinckley shot the president because he thought that a high profile assassination would impress actress Jodi Foster. At his trial, he was found not guilty by reason of insanity."
Crime,"The key suspect in the murder of young women in Yosemite National Park is caught, but it's up to an exceptionally skilled FBI agent to dismantle his web of lies and denials to draw a confession."
Mystery,"The key suspect in the murder of young women in Yosemite National Park is caught, but it's up to an exceptionally skilled FBI agent to dismantle his web of lies and denials to draw a confession."
Crime,"A Southern California millionaire allegedly murders his wife, and then calls the authorities with a far-fetched claim that a house-painter did it."
Reality-TV,"Season Four Finale. With filming wrapped, Jason gets notes on his director's cut of the film, and, on Ben's suggestion, screens it for a test audience. Though resistant to some of the feedback, Jason looks to make fixes during reshoots - and works round the clock with the editor to get the final cut completed before the film's red-carpet premiere at the Ace Hotel in Los Angeles."
Adventure,Bourdain immerses himself in the boom or bust city of Seattle.
Adventure,"Jermy, James and Richard set out to prove that the old 'classic' hatchbacks of their time are better than the modern equivalents through a series of challenges while Hugh Bonneville stars in the reasonably priced car."
Comedy,"Jermy, James and Richard set out to prove that the old 'classic' hatchbacks of their time are better than the modern equivalents through a series of challenges while Hugh Bonneville stars in the reasonably priced car."
Reality-TV,"Jermy, James and Richard set out to prove that the old 'classic' hatchbacks of their time are better than the modern equivalents through a series of challenges while Hugh Bonneville stars in the reasonably priced car."
Talk-Show,"Jermy, James and Richard set out to prove that the old 'classic' hatchbacks of their time are better than the modern equivalents through a series of challenges while Hugh Bonneville stars in the reasonably priced car."
Adventure,"Hosts Jack Steward and Colton Smith get up close and personal with the massive brown bears of Katmai National Park in Alaska, home to the largest population of brown bears on the planet. The guys watch bears fish for salmon and dig for clams along the Pacific Coast and camp out in the back country surrounded by bears."
Family,"Hosts Jack Steward and Colton Smith get up close and personal with the massive brown bears of Katmai National Park in Alaska, home to the largest population of brown bears on the planet. The guys watch bears fish for salmon and dig for clams along the Pacific Coast and camp out in the back country surrounded by bears."
Reality-TV,"Hosts Jack Steward and Colton Smith get up close and personal with the massive brown bears of Katmai National Park in Alaska, home to the largest population of brown bears on the planet. The guys watch bears fish for salmon and dig for clams along the Pacific Coast and camp out in the back country surrounded by bears."
Adventure,"Jack and Colton trek miles though an icy cold river, then hold on for dear life while climbing one of Zion National Park's scariest trails."
Family,"Jack and Colton trek miles though an icy cold river, then hold on for dear life while climbing one of Zion National Park's scariest trails."
Reality-TV,"Jack and Colton trek miles though an icy cold river, then hold on for dear life while climbing one of Zion National Park's scariest trails."
Family,Host Mo Rocca shows us: 3D printed statues of people and pets. The Wrist Swim Inflator for water safety. How 100-year-old Locomotives are kept running. And the sofa accessory that makes you feel like you're in the game.
Adventure,The two funniest and most brilliant chef/restaurateurs in Canada take us across Canada by rail.
Crime,"Sara Raras is home alone one night when an intruder bypasses her home security system, savagely killing her. As her family begins to despair that the killer will never be caught, an unexpected tip brings hope."
Animation,"At the end of a succession of civil wars which have weakened the Roman Republic, Caesar proclaims himself dictator for life. However, on March 14, 44 BC, he is assassinated by conspirators in the name of the Republic."
Family,"At the end of a succession of civil wars which have weakened the Roman Republic, Caesar proclaims himself dictator for life. However, on March 14, 44 BC, he is assassinated by conspirators in the name of the Republic."
History,"At the end of a succession of civil wars which have weakened the Roman Republic, Caesar proclaims himself dictator for life. However, on March 14, 44 BC, he is assassinated by conspirators in the name of the Republic."
Adventure,Chris Harris and the Bugatti Chiron race Matt LeBlanc across the Arabian peninsula. Rory Reid constructs a life-size arcade game and Tinie Tempah faces the Top Gear track.
Comedy,Chris Harris and the Bugatti Chiron race Matt LeBlanc across the Arabian peninsula. Rory Reid constructs a life-size arcade game and Tinie Tempah faces the Top Gear track.
Reality-TV,Chris Harris and the Bugatti Chiron race Matt LeBlanc across the Arabian peninsula. Rory Reid constructs a life-size arcade game and Tinie Tempah faces the Top Gear track.
Talk-Show,Chris Harris and the Bugatti Chiron race Matt LeBlanc across the Arabian peninsula. Rory Reid constructs a life-size arcade game and Tinie Tempah faces the Top Gear track.
Crime,"Sabrina Butler,a 17-year old African-American woman arrives at a Mississippi hospital with her baby dead on arrival."
Short,"W. Kamau Bell heads to South Florida, home of the largest number of Venezuelans in the United States. He meets with newly arrived Venezuelans as well as established Venezuelan-Americans helping their community to better try to understand the complicated crisis that's forcibly displaced millions of Venezuelans from their homes, many of them now seeking asylum and refuge in Miami-Dade."
History,"W. Kamau Bell heads to South Florida, home of the largest number of Venezuelans in the United States. He meets with newly arrived Venezuelans as well as established Venezuelan-Americans helping their community to better try to understand the complicated crisis that's forcibly displaced millions of Venezuelans from their homes, many of them now seeking asylum and refuge in Miami-Dade."
Reality-TV,"W. Kamau Bell heads to South Florida, home of the largest number of Venezuelans in the United States. He meets with newly arrived Venezuelans as well as established Venezuelan-Americans helping their community to better try to understand the complicated crisis that's forcibly displaced millions of Venezuelans from their homes, many of them now seeking asylum and refuge in Miami-Dade."
Sport,"W. Kamau Bell heads to South Florida, home of the largest number of Venezuelans in the United States. He meets with newly arrived Venezuelans as well as established Venezuelan-Americans helping their community to better try to understand the complicated crisis that's forcibly displaced millions of Venezuelans from their homes, many of them now seeking asylum and refuge in Miami-Dade."
Short,"A road trip undertaken by Ronstadt, Jackson Browne and a group of younger musicians made to the Mexican town of Banámichi in the state of Sonora, the birthplace of Ronstadt's beloved grandfather."
Short,"Kamau spends time on the on the notorious Skid Row in Los Angeles and explores its racial, socio-economic and statistical dynamics."
History,"Kamau spends time on the on the notorious Skid Row in Los Angeles and explores its racial, socio-economic and statistical dynamics."
Reality-TV,"Kamau spends time on the on the notorious Skid Row in Los Angeles and explores its racial, socio-economic and statistical dynamics."
Sport,"Kamau spends time on the on the notorious Skid Row in Los Angeles and explores its racial, socio-economic and statistical dynamics."
Adventure,"Freddie and Chris tackle the toughest off-road race on the planet: the brutal Baja 1000. Out on the track, there is a showdown between a Renault hot hatch, a Porsche sports car - and an old Lamborghini. Laurence and Emilia Fox are the studio guests."
Comedy,"Freddie and Chris tackle the toughest off-road race on the planet: the brutal Baja 1000. Out on the track, there is a showdown between a Renault hot hatch, a Porsche sports car - and an old Lamborghini. Laurence and Emilia Fox are the studio guests."
Reality-TV,"Freddie and Chris tackle the toughest off-road race on the planet: the brutal Baja 1000. Out on the track, there is a showdown between a Renault hot hatch, a Porsche sports car - and an old Lamborghini. Laurence and Emilia Fox are the studio guests."
Talk-Show,"Freddie and Chris tackle the toughest off-road race on the planet: the brutal Baja 1000. Out on the track, there is a showdown between a Renault hot hatch, a Porsche sports car - and an old Lamborghini. Laurence and Emilia Fox are the studio guests."
Adventure,"Jack and Colton trudge through miles upon miles of volcanic ash and forge a treacherous river in search of one of the most powerful volcanoes on earth. Oh, and they are on constant alert for brown bears too."
Family,"Jack and Colton trudge through miles upon miles of volcanic ash and forge a treacherous river in search of one of the most powerful volcanoes on earth. Oh, and they are on constant alert for brown bears too."
Reality-TV,"Jack and Colton trudge through miles upon miles of volcanic ash and forge a treacherous river in search of one of the most powerful volcanoes on earth. Oh, and they are on constant alert for brown bears too."
Short,"W. Kamau Bell is off to speak to the people of Portland, Oregon where the result of a massive influx of hipsters appears to be gentrification; he inquires as to how this has affected the local neighborhoods."
History,"W. Kamau Bell is off to speak to the people of Portland, Oregon where the result of a massive influx of hipsters appears to be gentrification; he inquires as to how this has affected the local neighborhoods."
Reality-TV,"W. Kamau Bell is off to speak to the people of Portland, Oregon where the result of a massive influx of hipsters appears to be gentrification; he inquires as to how this has affected the local neighborhoods."
Sport,"W. Kamau Bell is off to speak to the people of Portland, Oregon where the result of a massive influx of hipsters appears to be gentrification; he inquires as to how this has affected the local neighborhoods."
News,[HBO] HD. In this edition: Congresswoman Ilhan Omar (D-MN); Senator Ted Cruz (R-TX); American biochemist Jennifer Doudna.
Talk-Show,[HBO] HD. In this edition: Congresswoman Ilhan Omar (D-MN); Senator Ted Cruz (R-TX); American biochemist Jennifer Doudna.
Animation,"August 5, 1962, South Africa. After several months on the run, the Black leader Nelson Mandela is arrested by the South African police and incarcerated in Robben Island, a fortress-like jail off Cape Town. He doesn't know it at that time, but it is only the beginning of his penitential ordeal."
Family,"August 5, 1962, South Africa. After several months on the run, the Black leader Nelson Mandela is arrested by the South African police and incarcerated in Robben Island, a fortress-like jail off Cape Town. He doesn't know it at that time, but it is only the beginning of his penitential ordeal."
History,"August 5, 1962, South Africa. After several months on the run, the Black leader Nelson Mandela is arrested by the South African police and incarcerated in Robben Island, a fortress-like jail off Cape Town. He doesn't know it at that time, but it is only the beginning of his penitential ordeal."
Reality-TV,The Jackrabbits enjoy a three-game winning streak; Devin Jackson meets with a military recruiter; the team prepares for the final home game with Compton.
Family,Jungle Jack counts down six stories about extraordinary creatures with absolutely incredible senses.
Reality-TV,Jungle Jack counts down six stories about extraordinary creatures with absolutely incredible senses.
Short,"Filmed in the months following the shooting at Marjory Stoneman Douglas High School, while the Florida school community is grappling with the tragedy, Song of Parkland documents the dedication of drama teacher Melody Herzfeld and her theater students as they return to school and resolve to continue with their production."
Drama,"Filmed in the months following the shooting at Marjory Stoneman Douglas High School, while the Florida school community is grappling with the tragedy, Song of Parkland documents the dedication of drama teacher Melody Herzfeld and her theater students as they return to school and resolve to continue with their production."
Comedy,A look at the many different ways that comedy has lampooned and influenced politics over the years.
History,A look at the many different ways that comedy has lampooned and influenced politics over the years.
Adventure,"Matt LeBlanc gets his hands on the new Porsche 911 R whilst Chris Harris puts Honda's reimagined NSX through its paces. Chris Evans discovers old-fashioned charm in the somehow new MGB Roadster, as Rory Reid heads to Scotland with the first ever right-hand-drive Ford Mustang. Grey's Anatomy star Patrick Dempsey and Man Down funny man Greg Davies are tonight's Stars in a Rallycross Car, plus a treat for the whole team, including Sabine Schmitz and Eddie Jordan."
Comedy,"Matt LeBlanc gets his hands on the new Porsche 911 R whilst Chris Harris puts Honda's reimagined NSX through its paces. Chris Evans discovers old-fashioned charm in the somehow new MGB Roadster, as Rory Reid heads to Scotland with the first ever right-hand-drive Ford Mustang. Grey's Anatomy star Patrick Dempsey and Man Down funny man Greg Davies are tonight's Stars in a Rallycross Car, plus a treat for the whole team, including Sabine Schmitz and Eddie Jordan."
Reality-TV,"Matt LeBlanc gets his hands on the new Porsche 911 R whilst Chris Harris puts Honda's reimagined NSX through its paces. Chris Evans discovers old-fashioned charm in the somehow new MGB Roadster, as Rory Reid heads to Scotland with the first ever right-hand-drive Ford Mustang. Grey's Anatomy star Patrick Dempsey and Man Down funny man Greg Davies are tonight's Stars in a Rallycross Car, plus a treat for the whole team, including Sabine Schmitz and Eddie Jordan."
Talk-Show,"Matt LeBlanc gets his hands on the new Porsche 911 R whilst Chris Harris puts Honda's reimagined NSX through its paces. Chris Evans discovers old-fashioned charm in the somehow new MGB Roadster, as Rory Reid heads to Scotland with the first ever right-hand-drive Ford Mustang. Grey's Anatomy star Patrick Dempsey and Man Down funny man Greg Davies are tonight's Stars in a Rallycross Car, plus a treat for the whole team, including Sabine Schmitz and Eddie Jordan."
Comedy,"[HBO] HD. 'Labor Problems.' Season 2 Premiere. Wyatt examines why workers at major fast-food chains aren't unionized, and more."
Short,"Kamau visits the American Sikh community and tries to clear the numerous misconceptions that most Americans have about them, especially when they confuse them with Muslims."
History,"Kamau visits the American Sikh community and tries to clear the numerous misconceptions that most Americans have about them, especially when they confuse them with Muslims."
Reality-TV,"Kamau visits the American Sikh community and tries to clear the numerous misconceptions that most Americans have about them, especially when they confuse them with Muslims."
Sport,"Kamau visits the American Sikh community and tries to clear the numerous misconceptions that most Americans have about them, especially when they confuse them with Muslims."
Reality-TV,"As production begins, Jason is eager to take charge, but finds his penchant for perfectionism conflicting with the tight shooting schedule Effie is vigilant about maintaining. The crew raises communication concerns during Len's first visit to the set. With the deadline winding down to get the signatures required to legally shoot at night, Effie and Marc present Jason with a less-than-ideal solution."
Adventure,"Chris Evans, Matt LeBlanc and Sabine Schmitz buy cheap second-hand cars and head for Venice. The aim? To prove road travel can be more luxurious than taking the train. Elsewhere, Rory Reid heads to New York to sample the all-electric Tesla Model X, while Chris Harris dons his race helmet to drive the most powerful Aston Martin of all time - the fearsome Vulcan. Bear Grylls and Brian Cox are the Stars in a Rallycross Car."
Comedy,"Chris Evans, Matt LeBlanc and Sabine Schmitz buy cheap second-hand cars and head for Venice. The aim? To prove road travel can be more luxurious than taking the train. Elsewhere, Rory Reid heads to New York to sample the all-electric Tesla Model X, while Chris Harris dons his race helmet to drive the most powerful Aston Martin of all time - the fearsome Vulcan. Bear Grylls and Brian Cox are the Stars in a Rallycross Car."
Reality-TV,"Chris Evans, Matt LeBlanc and Sabine Schmitz buy cheap second-hand cars and head for Venice. The aim? To prove road travel can be more luxurious than taking the train. Elsewhere, Rory Reid heads to New York to sample the all-electric Tesla Model X, while Chris Harris dons his race helmet to drive the most powerful Aston Martin of all time - the fearsome Vulcan. Bear Grylls and Brian Cox are the Stars in a Rallycross Car."
Talk-Show,"Chris Evans, Matt LeBlanc and Sabine Schmitz buy cheap second-hand cars and head for Venice. The aim? To prove road travel can be more luxurious than taking the train. Elsewhere, Rory Reid heads to New York to sample the all-electric Tesla Model X, while Chris Harris dons his race helmet to drive the most powerful Aston Martin of all time - the fearsome Vulcan. Bear Grylls and Brian Cox are the Stars in a Rallycross Car."
Crime,"Accused of killing a veteran while driving under the influence, a DUI offender flees before his trial is set to begin."
Adventure,"Anthony heads to Beirut, to explore the culture and food history of the region. He also takes part in the more modern nightlife activities available in what is known as 'the Paris of the Middle East'."
Adventure,Bourdain looks at the Congo as one of the more industrialized powers in Africa now largely crumbled to nothingness and chaos.
Crime,"Behind the scenes of Selena's red hot career, ambitions, and tragic demise. Rare interviews include her close friend and co-fashion designer, the back-up singer in her band, and for the first time ever, a nurse who spoke to Selena and her killer just before she died."
Mystery,"Behind the scenes of Selena's red hot career, ambitions, and tragic demise. Rare interviews include her close friend and co-fashion designer, the back-up singer in her band, and for the first time ever, a nurse who spoke to Selena and her killer just before she died."
Biography,"He was perhaps the greatest ballplayer who ever lived. A larger-than-life hero on the field, Babe Ruth's exploits off the field were just as legendary. Don't miss this compilation of rarely seen footage, home movies and revealing interviews that uncover stories not even the most devout baseball fan has ever heard."
Sport,"He was perhaps the greatest ballplayer who ever lived. A larger-than-life hero on the field, Babe Ruth's exploits off the field were just as legendary. Don't miss this compilation of rarely seen footage, home movies and revealing interviews that uncover stories not even the most devout baseball fan has ever heard."
Short,"In the wake of his assassination, Lincoln transforms from a controversial figure at the helm of America's largest crisis to a martyred hero. After his brutal murder, episode 106 follows the epic manhunt for his killer as well as the unraveling of the wife and country he left behind. America is rife with racial conflict, and his assassination sets the stage for the next 100 years of Civil Rights struggles from Jim Crow through Black Lives Matter. Lincoln has been canonized and mythologized as a savior and a hero, but his reality is far more complex. If we must believe he represents who we are as a country, then we should look to his evolution to inspire us to learn, grow, and change the way that he did."
Biography,"In the wake of his assassination, Lincoln transforms from a controversial figure at the helm of America's largest crisis to a martyred hero. After his brutal murder, episode 106 follows the epic manhunt for his killer as well as the unraveling of the wife and country he left behind. America is rife with racial conflict, and his assassination sets the stage for the next 100 years of Civil Rights struggles from Jim Crow through Black Lives Matter. Lincoln has been canonized and mythologized as a savior and a hero, but his reality is far more complex. If we must believe he represents who we are as a country, then we should look to his evolution to inspire us to learn, grow, and change the way that he did."
History,"In the wake of his assassination, Lincoln transforms from a controversial figure at the helm of America's largest crisis to a martyred hero. After his brutal murder, episode 106 follows the epic manhunt for his killer as well as the unraveling of the wife and country he left behind. America is rife with racial conflict, and his assassination sets the stage for the next 100 years of Civil Rights struggles from Jim Crow through Black Lives Matter. Lincoln has been canonized and mythologized as a savior and a hero, but his reality is far more complex. If we must believe he represents who we are as a country, then we should look to his evolution to inspire us to learn, grow, and change the way that he did."
Adventure,"It is an electric car special as Chris, Freddie and Paddy each attempt to build their own battery-powered sports car on a budget. Chris tests the Tesla Model 3 on track, while Danny Boyle and Himesh Patel are the guest stars."
Comedy,"It is an electric car special as Chris, Freddie and Paddy each attempt to build their own battery-powered sports car on a budget. Chris tests the Tesla Model 3 on track, while Danny Boyle and Himesh Patel are the guest stars."
Reality-TV,"It is an electric car special as Chris, Freddie and Paddy each attempt to build their own battery-powered sports car on a budget. Chris tests the Tesla Model 3 on track, while Danny Boyle and Himesh Patel are the guest stars."
Talk-Show,"It is an electric car special as Chris, Freddie and Paddy each attempt to build their own battery-powered sports car on a budget. Chris tests the Tesla Model 3 on track, while Danny Boyle and Himesh Patel are the guest stars."
Sport,How Covid-19 changed college and professional sports and how professional players began publicly arguing for social justice and police reform in the wake of several instances of police killing unarmed black people. Features mostly NBA personnel.
Adventure,A visit to the remote Greek island of Ikaria where inhabitants live longer than most Americans and try to maintain their centuries old way of life in a modern world.
History,A new wave of British bands and artists enter and impact mainstream American culture.
Animation,"Giant insects once dominated the earth before the dinosaurs. Thanks to new technologies combining genetics, ethology, geology and even particle physics, paleontologists can now recreate the missing branches of the tree of life. Assumptions have been shattered and all the rules are changing."
History,"Giant insects once dominated the earth before the dinosaurs. Thanks to new technologies combining genetics, ethology, geology and even particle physics, paleontologists can now recreate the missing branches of the tree of life. Assumptions have been shattered and all the rules are changing."
Adventure,"Cuban barriers begin to crumble, the nation braces itself for a tourist invasion."
Drama,An immigrant from Puerto Rico is determined to bring the musical 'Hamilton' to his island home.
Biography,"A documentary on Ethel Kennedy that provides an insider's view of a political dynasty, including her life with Robert F. Kennedy and the years following his death when she raised their eleven children on her own."
News,"[HBO] HD. Segments: interviews with five prominent whistleblowers, including Edward Snowden; plus, Uber CEO Dara Khosrowshahi."
Talk-Show,"[HBO] HD. Segments: interviews with five prominent whistleblowers, including Edward Snowden; plus, Uber CEO Dara Khosrowshahi."
Adventure,"Chris, Freddie and Paddy set out to turn an old hearse into the ultimate family car. On the track, Chris gets to grips with the lightweight Dallara Stradale, while Zara and Mike Tindall go head to head in the Reasonably Fast Car."
Comedy,"Chris, Freddie and Paddy set out to turn an old hearse into the ultimate family car. On the track, Chris gets to grips with the lightweight Dallara Stradale, while Zara and Mike Tindall go head to head in the Reasonably Fast Car."
Reality-TV,"Chris, Freddie and Paddy set out to turn an old hearse into the ultimate family car. On the track, Chris gets to grips with the lightweight Dallara Stradale, while Zara and Mike Tindall go head to head in the Reasonably Fast Car."
Talk-Show,"Chris, Freddie and Paddy set out to turn an old hearse into the ultimate family car. On the track, Chris gets to grips with the lightweight Dallara Stradale, while Zara and Mike Tindall go head to head in the Reasonably Fast Car."
Short,"Host Jeff Corwin travels to the protected island of Matiu/Somes off the coast of New Zealand to find a prehistoric species that walked the earth with dinosaurs. Jeff is on a mission to help rebuild an ancient ecosystem, come face to face with some of the planet's most unique creatures, and uncover secrets 200 million years in the making."
Adventure,"Host Jeff Corwin travels to the protected island of Matiu/Somes off the coast of New Zealand to find a prehistoric species that walked the earth with dinosaurs. Jeff is on a mission to help rebuild an ancient ecosystem, come face to face with some of the planet's most unique creatures, and uncover secrets 200 million years in the making."
Family,"Host Jeff Corwin travels to the protected island of Matiu/Somes off the coast of New Zealand to find a prehistoric species that walked the earth with dinosaurs. Jeff is on a mission to help rebuild an ancient ecosystem, come face to face with some of the planet's most unique creatures, and uncover secrets 200 million years in the making."
Short,Jeff joins the hard working biologists of Georgia Aquarium as they care for the animals living in the world's largest aquarium. He helps deliver a stingray to his new home and works with veterinarians caring for exotic species in the aquarium.
Adventure,Jeff joins the hard working biologists of Georgia Aquarium as they care for the animals living in the world's largest aquarium. He helps deliver a stingray to his new home and works with veterinarians caring for exotic species in the aquarium.
Family,Jeff joins the hard working biologists of Georgia Aquarium as they care for the animals living in the world's largest aquarium. He helps deliver a stingray to his new home and works with veterinarians caring for exotic species in the aquarium.
History,"The Celtic tribes turned from traders into professional warriors, mercenaries and conquerors, spreading over most of Europe and even Galatia, in Asia Minor. That was one of the first parts to fall to the rising Mediterranean power, rebuilt Rome, which unlike the Celts was the very model of unified order, which quickly subjugated Iberia and southern France, yet gave the heartland Gaul the dived and rule treatment, allying itself with the strategic Aedui tribe in Burgundy. Their culture and military technology were far from the naked savages depicted by Time, as shown by the La Tène finds near lake Geneva, which also proves their dark, bloodily cruel side. Firstmost Roman general Julius Caesar won his greatest fame by conquering Gaul, despite it being united in defense by equally gifted warrior-king Vercingetorix. His vast army expected to hold out in its hill citadel of Alesia. Caeser laid a massive siege and built an equally impressive outward defense ring before Celtic reinforcements arrived, then made the difference with his last reserve legion when a break-trough from both sides was about to happen and ruthlessly smashed his adversary for good, slaying a million Gauls, selling another into slavery and taming the last third forever."
Crime,A young mother is murdered in a crowded parking lot in broad daylight.
Crime,"When self-proclaimed Google alum Kyle Sandler bursts into the tiny town of Opelika, Alabama to launch the Round House business incubator, he promises to turn the town into the ""Silicon Valley of the East."" The enchanted residents throw themselves into the project, until a local 14-year-old inventor gains nationwide press for reportedly rejecting a $30 million outside buyout offer. Spooked Round House investors are left wondering: is Kyle who he says he is or were his promises built on lies?"
Sport,"Mexican former Olympic swimmer Alberto Isaac's record of Mexico 68 is a celebration not of national achievement, but of individual heroism. This thoughtful and comprehensive film bristles with offbeat moments and yields iconic images."
History,The origins of the Celts and their representation in Roman Britain.
History,Johnny Carson deftly navigates the turbulent 1960s to elevate The Tonight Show and become the undisputed king of late night.
Crime,"In 3 1/2 Minutes, Ten Bullets, two lives intersected and were forever altered."
Crime,"Sarah confides to Mark about DOS, a secret women's group. She struggles in her relationships with NXIVM, her husband Nippy, and her best friend. Nippy confronts the organization he's helped grow for 15 years."
Sport,"Following a massive win at a competition at Maui's world-famous Jaws surf break in 2003, professional surfer Garrett McNamara comes out of retirement to pursue his lifelong dream of riding a 100-foot wave."
Crime,"Aided by a masterful social media presence, the young, awkward Anna Sorokin transforms herself into glamorous German heiress Anna Delvey. But after she sticks her friend Rachel with the bill for their lavish vacation, Anna's world begins to unravel and she goes on the lam. Convinced her friend is a con artist, Rachel works with the NYPD to piece together clues to track Anna down."
Crime,"Building a business with nothing but blind ambition, Ian Bick transforms himself from a nerdy teen into a concert promoter almost as legendary as the bands he books. As the teenager's EDM raves pack houses and feed his emerging VIP lifestyle with first-class trips, high-end shopping, and brand-new jet skis, his fall is as dramatic as his rise - culminating in an FBI raid that shocks his family, friends, and hometown."
Drama,"A beloved teacher struggles with cancer, an unsung academic talent emerges, and an all-around player switches positions and dominates the game."
Sport,"A beloved teacher struggles with cancer, an unsung academic talent emerges, and an all-around player switches positions and dominates the game."
Adventure,"The brand new season of the world's most popular car show continues with an epic road trip across the western side of the United States in three front-engined supercars. Along the way, the three presenters take in racing circuits, airborne attacks and a race against the police. Meanwhile, back in the studio legendary Fleetwood Mac drummer Mick Fleetwood is the star in the Reasonably Priced Car."
Comedy,"The brand new season of the world's most popular car show continues with an epic road trip across the western side of the United States in three front-engined supercars. Along the way, the three presenters take in racing circuits, airborne attacks and a race against the police. Meanwhile, back in the studio legendary Fleetwood Mac drummer Mick Fleetwood is the star in the Reasonably Priced Car."
Reality-TV,"The brand new season of the world's most popular car show continues with an epic road trip across the western side of the United States in three front-engined supercars. Along the way, the three presenters take in racing circuits, airborne attacks and a race against the police. Meanwhile, back in the studio legendary Fleetwood Mac drummer Mick Fleetwood is the star in the Reasonably Priced Car."
Talk-Show,"The brand new season of the world's most popular car show continues with an epic road trip across the western side of the United States in three front-engined supercars. Along the way, the three presenters take in racing circuits, airborne attacks and a race against the police. Meanwhile, back in the studio legendary Fleetwood Mac drummer Mick Fleetwood is the star in the Reasonably Priced Car."
Crime,"After a Kansas mother disappears, her family and police search for months only to find that her abductor isn't as close as they thought."
Biography,"Liz's legacy as a trans woman, entrepreneur, and parent is contextualized within the broader history of transphobia."
Crime,"Liz's legacy as a trans woman, entrepreneur, and parent is contextualized within the broader history of transphobia."
Crime,A gruesome find in a small town church sends investigators searching for a killer.
Animation,"A famous scientist wrote the President of the United States, and the face of war, and our world, was changed forever. How and why did humanity develop a weapon capable of almost total destruction?"
Family,"A famous scientist wrote the President of the United States, and the face of war, and our world, was changed forever. How and why did humanity develop a weapon capable of almost total destruction?"
History,"A famous scientist wrote the President of the United States, and the face of war, and our world, was changed forever. How and why did humanity develop a weapon capable of almost total destruction?"
Short,An unprecedented look into the workings of one of the only health clinics that serves America's untouchable class: undocumented immigrants.
Crime,Adnan Syed faces a major decision as his 20th year in prison approaches and a new court ruling looms.
Adventure,"A trip to the Caribbean uncovers how the island of Trinidad has turned a history of colonialism and slavery into a non-stop celebration of multicultural food, music and good times."
Adventure,"Matt LeBlanc and Chris Harris head into the Californian woods to test off-road toys and hunt for Big Foot. Rory Reid invents the sport of reverse camera racing, while Chris tests the new McLaren 720S. Lee Mack is this week's studio guest."
Comedy,"Matt LeBlanc and Chris Harris head into the Californian woods to test off-road toys and hunt for Big Foot. Rory Reid invents the sport of reverse camera racing, while Chris tests the new McLaren 720S. Lee Mack is this week's studio guest."
Reality-TV,"Matt LeBlanc and Chris Harris head into the Californian woods to test off-road toys and hunt for Big Foot. Rory Reid invents the sport of reverse camera racing, while Chris tests the new McLaren 720S. Lee Mack is this week's studio guest."
Talk-Show,"Matt LeBlanc and Chris Harris head into the Californian woods to test off-road toys and hunt for Big Foot. Rory Reid invents the sport of reverse camera racing, while Chris tests the new McLaren 720S. Lee Mack is this week's studio guest."
Crime,"In a tiny Swedish village surrounded by forests, a man is shot. The police arrive to find a strange scene, made even stranger when they find a murdered woman in the neighbouring house. When a suspect emerges, no one can quite believe it."
Adventure,"The guys attempt to make train travel cheaper, faster and more interesting by replacing the conventional carriages and locomotive with a series of caravans attached to a specially modified car. It's either the world's most ingenious idea or the prelude to the world's biggest accident. Jeremy is also out on the track comparing the rip-snorting Jaguar XKR-S to the recently updated Nissan GT-R."
Comedy,"The guys attempt to make train travel cheaper, faster and more interesting by replacing the conventional carriages and locomotive with a series of caravans attached to a specially modified car. It's either the world's most ingenious idea or the prelude to the world's biggest accident. Jeremy is also out on the track comparing the rip-snorting Jaguar XKR-S to the recently updated Nissan GT-R."
